Chave,Latitude,Longitude
ARAPIRACA - AL,-9.754866,-36.661471
SANTO ANGELO - RS,-28.3000481,-54.2669971
PORTO FERREIRA - SP,-21.8529134,-47.4794943
RIBEIRAO PIRES - SP,-23.7134177,-46.4160929
PATOS DE MINAS - MG,-18.5974894,-46.5233256
BELO HORIZONTE - MG,-19.9227318,-43.9450948
JOINVILLE - SC,-26.3044898,-48.8486726
FORTALEZA - CE,-3.7304512,-38.5217989
RIO DE JANEIRO - RJ,-22.9080777,-43.1790268
SERRA - ES,-20.1252961,-40.3064477
ENTRE RIOS - BA,-11.9423743,-38.0836985
SALVADOR - BA,-12.9822499,-38.4812772
ITAJAI - SC,-26.9046787,-48.6552979
ILHEUS - BA,-14.792599,-39.0453843
BARRA DO PIRAI - RJ,-22.4242692,-43.8935244
SAO JOAO DE MERITI - RJ,-22.7853575,-43.366715
PALMEIRA D OESTE - SP,-20.4168187,-50.762159
PORTO ALEGRE - RS,-30.0324999,-51.2303767
BARRA MANSA - RJ,-22.4852784,-44.19707
PELOTAS - RS,-31.7699736,-52.3410161
SAO PAULO - SP,-23.5383214,-46.6391624
PIRAPORA - MG,-17.3493765,-44.9507904
CARLOS BARBOSA - RS,-29.2978372,-51.5005613
GARANHUNS - PE,-8.8905889,-36.4930896
JAGUARIUNA - SP,-22.70374,-46.985062
CATU - BA,-12.351274,-38.379108
SANTA ROSA - RS,-27.8643546,-54.4779287
ARACAJU - SE,-10.9162061,-37.0774655
MAUA - SP,-23.6669527,-46.4616922
BIGUACU - SC,-27.4961277,-48.6542432
JERONIMO MONTEIRO - ES,-20.7881687,-41.3920954
PALMAS - TO,-10.1837852,-48.3336423
SAO JOSE DOS CAMPOS - SP,-23.1867782,-45.8854538
POUSO ALEGRE - MG,-22.2343858,-45.9327241
GUARULHOS - SP,-23.4675941,-46.5277704
CONTAGEM - MG,-19.9132749,-44.0840953
BETIM - MG,-19.9475338,-44.1995361
NOVA IGUACU - RJ,-22.7592175,-43.4508728
UBERLANDIA - MG,-18.8941408,-48.2622678
BARRETOS - SP,-20.5531437,-48.5697509
OLINDA - PE,-7.9986401,-34.8459552
BRASILIA - DF,-15.7508868,-47.9250462
SAO JOSE DA COROA GRANDE - PE,-8.889375,-35.151461
FRANCA - SP,-20.5381768,-47.4009795
CRICIUMA - RS,-27.7488423,-54.8587575
ITU - SP,-23.2637798,-47.2998462
CURITIBA - PR,-25.4295963,-49.2712724
RIBEIRAO DAS NEVES - MG,-19.7672898,-44.0875436
JUIZ DE FORA - MG,-21.7609533,-43.3501129
CORUMBA - MS,-19.0016365,-57.6534316
MACAPA - AP,0.0401529,-51.0569588
PARAIBA DO SUL - RJ,-22.1636384,-43.2916915
FEIRA DE SANTANA - BA,-12.2578934,-38.9598047
BLUMENAU - SC,-26.9195567,-49.0658025
SANTO ANDRE - SP,-23.6533509,-46.5279039
AMERICANA - SP,-22.7392463,-47.3306032
CAMPINAS - SP,-22.9056391,-47.059564
GOIANIA - GO,-16.680882,-49.2532691
VARGEM GRANDE PAULIS - SP,,
JARAGUA DO SUL - SC,-26.4897432,-49.0778063
ITABERABA - BA,-12.524182,-40.305897
SUMARE - SP,-22.8217964,-47.267105
SAO BENTO - MA,-2.6999089,-44.8331254
TRES PALMEIRAS - RS,-27.6166217,-52.8412626
RIBEIRAO PRETO - SP,-21.1776315,-47.8100983
RIO VERDE - GO,-17.7921255,-50.9191219
PASSO FUNDO - RS,-28.2550598,-52.3966606
ITABORAI - RJ,-22.7558128,-42.8829561
NOVA LIMA - MG,-19.9854089,-43.8470691
PERUIBE - SP,-24.3218105,-46.9977452
PANAMBI - RS,-28.2898542,-53.501822
COSMORAMA - SP,-20.4223677,-49.7681942
SAO BERNARDO DO CAMP - SP,,
MARACANAU - CE,-3.8779438,-38.6247697
COTIA - SP,-23.603889,-46.918889
CARAPICUIBA - SP,-23.5234673,-46.8406808
PATO BRANCO - PR,-26.2295984,-52.6712474
SOROCABA - SP,-23.5003451,-47.4582864
ORATORIOS - MG,-20.4303,-42.8056
BARRA DO GARCAS - MT,-15.8916033,-52.2615413
ARAXA - MG,-19.6009149,-46.940923
REGENTE FEIJO - SP,-22.2191056,-51.3034558
SAPUCAIA DO SUL - RS,-29.8197019,-51.1608722
PONTA PORA - MS,-22.5286917,-55.723426
BALNEARIO RINCAO - SC,-28.8235718,-49.2241642
SANTA MARIA - RS,-29.6860512,-53.8069214
CANAVIEIRAS - BA,-15.6790128,-38.9449622
SANTO ANTONIO DO SUDOESTE - PR,-26.0727118,-53.725556
RECIFE - PE,-8.0584933,-34.8848193
CAMPINA GRANDE - PB,-7.2246743,-35.8771292
RESENDE - RJ,-22.4683626,-44.4463494
CACHOEIRINHA - RS,-29.9493353,-51.0898927
SAO GONCALO - RJ,-22.821635,-42.9956797
TRES COROAS - RS,-29.5155023,-50.7770635
NOVO GAMA - GO,-16.0496528,-48.0304615
DUQUE DE CAXIAS - RJ,-22.7896225,-43.309929
BELFORD ROXO - RJ,-22.7667284,-43.4033603
MARIO CAMPOS - MG,-20.0511,-44.1858
NILOPOLIS - RJ,-22.8080114,-43.4138222
TEOFILANDIA - BA,-11.4891658,-38.9997411
JOAO RAMALHO - SP,-22.2486157,-50.7677114
CANOAS - RS,-29.9216045,-51.1799525
DIADEMA - SP,-23.6866428,-46.6246935
